BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) A.V. Phelps and L.C. Pitchford, Phys. Rev. A 31, 2932 (1985)
2) SIGLO database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
--------------------------------------------------
O2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) Lawton and Phelps, J. Chem. Phys. 69, 1055(1978).
2) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
NOTE:3 body attachment cross section are normalized to gas density in units of cm-3.
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       0.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    2000.    
Mole fraction N2                          0.8000    
Mole fraction O2                          0.2000    
 
 
E/N (Td)    	Electric field / N (Td)                                         
427.7	3.000
433.7	3.000
439.7	3.000
445.7	3.000
451.8	3.000
457.8	3.000
463.8	3.000
469.8	3.000
475.8	3.000
481.8	3.000
487.8	3.000
493.8	3.000
499.8	3.000
505.8	3.000
511.9	3.000
517.9	3.000
523.9	3.000
529.9	3.000
535.9	3.000
541.9	3.000
547.9	3.000
553.9	3.000
559.9	3.000
565.9	3.000
572.0	3.000
578.0	3.000
584.0	3.000
590.0	3.000
596.0	3.000
602.0	3.000
608.0	3.000
614.0	3.000
620.0	3.000
626.0	3.000
632.1	3.000
638.1	3.000
644.1	3.000
650.1	3.000
656.1	3.000
662.1	3.000
668.1	3.000
674.1	3.000
680.1	3.000
686.1	3.000
692.2	3.000
698.2	3.000
704.2	3.000
710.2	3.000
716.2	3.000
722.2	3.000
728.2	3.000
734.2	3.000
740.2	3.000
746.2	3.000
752.3	3.000
758.3	3.000
764.3	3.000
770.3	3.000
776.3	3.000
782.3	3.000
788.3	3.000
794.3	3.000
800.3	3.000
806.3	3.000
812.4	3.000
818.4	3.000
824.4	3.000
830.4	3.000
836.4	3.000
842.4	3.000
848.4	3.000
854.4	3.000
860.4	3.000
866.4	3.000
872.5	3.000
878.5	3.000
884.5	3.000
890.5	3.000
896.5	3.000
902.5	3.000
908.5	3.000
914.5	3.000
920.5	3.000
926.5	3.000
932.6	3.000
938.6	3.000
944.6	3.000
950.6	3.000
956.6	3.000
962.6	3.000
968.6	3.000
974.6	3.000
980.6	3.000
986.6	3.000
992.7	3.000
998.7	3.000
1005.	3.000
1011.	3.000
1017.	3.000
1023.	3.000
1029.	3.000
1035.	3.000
1041.	3.000
1047.	3.000
1053.	3.000
1059.	3.000
1065.	3.000
1071.	3.000
1077.	3.000
1083.	3.000
1089.	3.000
1095.	3.000
1101.	3.000
1107.	3.000
1113.	3.000
1119.	3.000
1125.	3.000
1131.	3.000
1137.	3.000
1143.	3.000
1149.	3.000
1155.	3.000
1161.	3.000
1167.	3.000
1173.	3.000
1179.	3.000
1185.	3.000
1191.	3.000
1197.	3.000
1203.	3.000
1209.	3.000
1215.	3.000
1221.	3.000
1227.	3.000
1233.	3.000
1239.	3.000
1245.	3.000
1251.	3.000
1257.	3.000
1263.	3.000
1269.	3.000
1275.	3.000
1281.	3.000
1287.	3.000
1293.	3.000
1299.	3.000
1305.	3.000
1311.	3.000
1317.	3.000
1323.	3.000
1329.	3.000
1335.	3.000
1341.	3.000
1347.	3.000
1353.	3.000
1359.	3.000
1365.	3.000
1371.	3.000
1377.	3.000
1383.	3.000
1389.	3.000
1395.	3.000
1401.	3.000
1407.	3.000
1413.	3.000
1419.	3.000
1425.	3.000
1431.	3.000
1437.	3.000
1443.	3.000
1449.	3.000
1455.	3.000
1461.	3.000
1467.	3.000
1473.	3.000
1479.	3.000
1485.	3.000
1491.	3.000
1497.	3.000
1504.	3.000
1510.	3.000
1516.	3.000
1522.	3.000
1528.	3.000
1534.	3.000
1540.	3.000
1546.	3.000
1552.	3.000
1558.	3.000
1564.	3.000
1570.	3.000
1576.	3.000
1582.	3.000
1588.	3.000
1594.	3.000
1600.	3.000
1606.	3.000
1612.	3.000
1618.	3.000
1624.	3.000
1630.	3.000
1636.	3.000
1642.	3.000
1648.	3.000
1654.	3.000
1660.	3.000
1666.	3.000
1672.	3.000
1678.	3.000
1684.	3.000
1690.	3.000
1696.	3.000
1702.	3.000
1708.	3.000
1714.	3.000
1720.	3.000
1726.	3.000
1732.	3.000
1738.	3.000
1744.	3.000
1750.	3.000
1756.	3.000
1762.	3.000
1768.	3.000
1774.	3.000
1780.	3.000
1786.	3.000
1792.	3.000
1798.	3.000
1804.	3.000
1810.	3.000
1816.	3.000
1822.	3.000
1828.	3.000
1834.	3.000
1840.	3.000
1846.	3.000
1852.	3.000
1858.	3.000
1864.	3.000
1870.	3.000
1876.	3.000
1882.	3.000
1888.	3.000
1894.	3.000
1900.	3.000
1906.	3.000
1912.	3.000
1918.	3.000
1924.	3.000
1930.	3.000
1936.	3.000
1942.	3.000
1948.	3.000
1954.	3.000
1960.	3.000
1966.	3.000
1972.	3.000
1978.	3.000
1984.	3.000
1990.	3.000
1996.	3.000
2002.	3.000
2008.	3.000
2014.	3.000
2020.	3.000
2026.	3.000
2032.	3.000
2038.	3.000
2044.	3.000
2050.	3.000
2056.	3.000
2062.	3.000
2068.	3.000
2074.	3.000
2080.	3.000
2086.	3.000
2092.	3.000
2098.	3.000
2105.	3.000
2111.	3.000
2117.	3.000
2123.	3.000
2129.	3.000
2135.	3.000
2141.	3.000
2147.	3.000
2153.	3.000
2159.	3.000
2165.	3.000
2171.	3.000
2177.	3.000
2183.	3.000
2189.	3.000
2195.	3.000
2201.	3.000
2207.	3.000
2213.	3.000
2219.	3.000
2225.	3.000
2231.	3.000
2237.	3.000
2243.	3.000
2249.	3.000
2255.	3.000
2261.	3.000
2267.	3.000
2273.	3.000
2279.	3.000
2285.	3.000
2291.	3.000
2297.	3.000
2303.	3.000
2309.	3.000
2315.	3.000
2321.	3.000
2327.	3.000
2333.	3.000
2339.	3.000
2345.	3.000
2351.	3.000
2357.	3.000
2363.	3.000
2369.	3.000
2375.	3.000
2381.	3.000
2387.	3.000
2393.	3.000
2399.	3.000
2405.	3.000
2411.	3.000
2417.	3.000
2423.	3.000
2429.	3.000
2435.	3.000
2441.	3.000
2447.	3.000
2453.	3.000
2459.	3.000
2465.	3.000
2471.	3.000
2477.	3.000
2483.	3.000
2489.	3.000
2495.	3.000
2501.	3.000
2507.	3.000
2513.	3.000
2519.	3.000
2525.	3.000
2531.	3.000
2537.	3.000
2543.	3.000
2549.	3.000
2555.	3.000
2561.	3.000
2567.	3.000
2573.	3.000
2579.	3.000
2585.	3.000
2591.	3.000
2597.	3.000
2603.	3.000
2609.	3.000
2615.	3.000
2621.	3.000
2627.	3.000
2633.	3.000
2639.	3.000
2645.	3.000
2651.	3.000
2657.	3.000
2663.	3.000
2669.	3.000
2675.	3.000
2681.	3.000
2687.	3.000
2693.	3.000
2699.	3.000
2706.	3.000
2712.	3.000
2718.	3.000
2724.	3.000
2730.	3.000
2736.	3.000
2742.	3.000
2748.	3.000
2754.	3.000
2760.	3.000
2766.	3.000
2772.	3.000
2778.	3.000
2784.	3.000
2790.	3.000
2796.	3.000
2802.	3.000
2808.	3.000
2814.	3.000
2820.	3.000
2826.	3.000
2832.	3.000
2838.	3.000
2844.	3.000
2850.	3.000
2856.	3.000
2862.	3.000
2868.	3.000
2874.	3.000
2880.	3.000
2886.	3.000
2892.	3.000
2898.	3.000
2904.	3.000
2910.	3.000
2916.	3.000
2922.	3.000
2928.	3.000
2934.	3.000
2940.	3.000
2946.	3.000
2952.	3.000
2958.	3.000
2964.	3.000
2970.	3.000
2976.	3.000
2982.	3.000
2988.	3.000
2994.	3.000
3000.	3.000
 
 
E/N (Td)    	Maximum energy                                                  
1.000	-1.000
7.010	2.031
13.02	2.838
19.03	6.547
25.04	10.81
31.05	15.04
37.06	15.04
43.07	17.69
49.08	20.77
55.09	20.77
61.10	24.36
67.11	24.36
73.12	28.54
79.13	28.54
85.14	33.41
91.15	33.41
97.16	33.41
103.2	33.41
109.2	39.07
115.2	39.07
121.2	39.07
127.2	45.67
133.2	45.67
139.2	45.67
145.2	45.67
151.3	45.67
157.3	53.35
163.3	53.35
169.3	53.35
175.3	53.35
181.3	53.35
187.3	62.29
193.3	62.29
199.3	62.29
205.3	62.29
211.4	62.29
217.4	62.29
223.4	62.29
229.4	72.70
235.4	72.70
241.4	72.70
247.4	72.70
