# Transport data with three-body reactions for N2/O2 mixtures (80% N2, 20% O2)
# 
# Column 1:  Electric field (E/N)
# Column 2:  Electron temperature (eV)
# Column 3:  Electron mobility (mu*N) 
# Column 4:  Electron diffusion (D*N) 
# Column 5:  Rate for e + N2 ->[k1] e + N2+
# Column 6:  Rate for e + O2 ->[k2] e + O2+
# Column 7:  Rate for e + O2 ->[k3] O- + O
# Column 8:  Rate for e + O2 ->[k4] O2-(exc)
# Column 9:  Rate for O2-(exc) ->[k5] e + O2
# Column 10: Rate for O2-(exc) + O2 ->[k6] O2- + O2
# Column 11: Rate for e + N2 ->[k7] e + N2(1PN2)
# Column 12: Three-body rate k4*k6/k5
# 
# With the exception of k5, all rates are given in m^3/s, i.e. they must be multiplied by the concentration of the neutral on the left-hand side of the reaction.
# Note that k4 was reverse engineered from Kossyi et. al (eq. 45), and depends on the electron temperature.
# In this data the temperature was computed using 80% N2 and 20%O2
# 
1.318499754814377667e+01 9.874562224166175683e-01 1.848791768827342562e+24 1.886020823117265816e+24 0.000000000000000000e+00 0.000000000000000000e+00 2.744964465745395524e-26 7.001085832358510706e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 7.001085832358511198e-43
1.326625982874816323e+01 9.883704230734168261e-01 1.845405840468826489e+24 1.886359415953117504e+24 0.000000000000000000e+00 0.000000000000000000e+00 3.232199556535862812e-26 6.995202979752371504e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 6.995202979752371270e-43
1.334802294814488910e+01 9.892902581666299655e-01 1.841999043827296312e+24 1.886700095617270387e+24 0.000000000000000000e+00 0.000000000000000000e+00 3.722437593252064620e-26 6.989293788799981701e-18 1.000000000000000000e+10 1.000000000000000078e-15 0.000000000000000000e+00 6.989293788799981834e-43
1.343028999312274152e+01 9.902114749254963266e-01 1.838528375315207687e+24 1.887000000000000044e+24 0.000000000000000000e+00 0.000000000000000000e+00 4.271305921599253664e-26 6.983385668811734262e-18 1.000000000000000000e+10 1.000000000000000078e-15 2.678399459906944643e-28 6.983385668811734512e-43
1.351306406949510119e+01 9.911081940861968809e-01 1.834734563481474566e+24 1.887000000000000044e+24 0.000000000000000000e+00 0.000000000000000000e+00 5.214930392244153296e-26 6.977644198622804378e-18 1.000000000000000000e+10 1.000000000000000078e-15 2.422380175566238090e-27 6.977644198622805053e-43
1.359634830221723334e+01 9.920104399406867168e-01 1.830917369481710260e+24 1.887000000000000044e+24 0.000000000000000000e+00 0.000000000000000000e+00 6.164370645276458850e-26 6.971876814831357174e-18 1.000000000000000000e+10 1.000000000000000078e-15 4.590199349796067474e-27 6.971876814831357731e-43
1.368014583550424490e+01 9.929014583550425099e-01 1.827302644155622315e+24 1.887077483982708768e+24 0.000000000000000000e+00 0.000000000000000000e+00 7.160419099653131973e-26 6.966190501893455656e-18 1.000000000000000000e+10 1.000000000000000078e-15 6.519511167186264737e-27 6.966190501893455951e-43
1.376445983294978603e+01 9.937445983294979079e-01 1.824384082705584449e+24 1.887401768588268441e+24 0.000000000000000000e+00 0.000000000000000000e+00 8.292172373056743081e-26 6.960818232142463164e-18 1.000000000000000000e+10 1.000000000000000078e-15 7.660020124939989912e-27 6.960818232142463514e-43
1.384929347764549767e+01 9.945929347764549400e-01 1.821447533466117483e+24 1.887728051837098164e+24 0.000000000000000000e+00 0.000000000000000000e+00 9.430900911472257221e-26 6.955421166330934885e-18 1.000000000000000000e+10 1.000000000000000078e-15 8.807558311073905026e-27 6.955421166330935280e-43
1.393464997230115010e+01 9.954523597119319112e-01 1.818414001107954192e+24 1.888000000000000067e+24 0.000000000000000000e+00 0.000000000000000000e+00 1.068237542829574079e-25 6.949962040909940647e-18 1.000000000000000000e+10 1.000000000000000078e-15 1.007961900325597832e-26 6.949962040909940481e-43
