BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) A.V. Phelps and L.C. Pitchford, Phys. Rev. A 31, 2932 (1985)
2) SIGLO database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
--------------------------------------------------
O2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) Lawton and Phelps, J. Chem. Phys. 69, 1055(1978).
2) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
NOTE:3 body attachment cross section are normalized to gas density in units of cm-3.
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       0.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    2000.    
Mole fraction N2                          0.8000    
Mole fraction O2                          0.2000    
 
 
E/N (Td)    	Electric field / N (Td)                                         
1578.	0.5602E+24
1588.	0.5590E+24
1598.	0.5577E+24
1608.	0.5565E+24
1618.	0.5553E+24
1628.	0.5541E+24
1638.	0.5529E+24
1648.	0.5518E+24
1658.	0.5506E+24
1668.	0.5495E+24
1678.	0.5483E+24
1689.	0.5472E+24
1699.	0.5461E+24
1709.	0.5449E+24
1719.	0.5438E+24
1729.	0.5427E+24
1739.	0.5416E+24
1749.	0.5406E+24
1759.	0.5395E+24
1769.	0.5384E+24
1779.	0.5374E+24
1789.	0.5363E+24
1799.	0.5353E+24
1809.	0.5342E+24
1819.	0.5332E+24
1829.	0.5322E+24
1839.	0.5313E+24
1849.	0.5303E+24
1859.	0.5293E+24
1869.	0.5283E+24
1879.	0.5273E+24
1889.	0.5263E+24
1900.	0.5254E+24
1910.	0.5244E+24
1920.	0.5235E+24
1930.	0.5225E+24
1940.	0.5216E+24
1950.	0.5206E+24
1960.	0.5197E+24
1970.	0.5188E+24
1980.	0.5179E+24
1990.	0.5170E+24
2000.	0.5160E+24
 
 
E/N (Td)	Diffusion coefficient *N (1/m/s)
0.5000	0.1241E+25
10.55	0.1873E+25
20.60	0.1883E+25
30.64	0.1872E+25
40.69	0.1870E+25
50.74	0.1891E+25
60.79	0.1957E+25
70.83	0.2075E+25
80.88	0.2227E+25
90.93	0.2400E+25
101.0	0.2581E+25
111.0	0.2754E+25
121.1	0.2924E+25
131.1	0.3085E+25
141.2	0.3233E+25
151.2	0.3369E+25
161.3	0.3491E+25
171.3	0.3608E+25
181.4	0.3717E+25
191.4	0.3823E+25
201.5	0.3918E+25
211.5	0.4007E+25
221.6	0.4092E+25
231.6	0.4180E+25
241.6	0.4256E+25
251.7	0.4329E+25
261.7	0.4399E+25
271.8	0.4466E+25
281.8	0.4521E+25
291.9	0.4585E+25
301.9	0.4646E+25
312.0	0.4706E+25
322.0	0.4764E+25
332.1	0.4821E+25
342.1	0.4877E+25
352.2	0.4931E+25
362.2	0.4984E+25
372.3	0.5036E+25
382.3	0.5087E+25
392.4	0.5138E+25
402.4	0.5187E+25
412.5	0.5235E+25
422.5	0.5283E+25
432.6	0.5330E+25
442.6	0.5377E+25
452.6	0.5423E+25
462.7	0.5469E+25
472.7	0.5513E+25
482.8	0.5558E+25
492.8	0.5601E+25
502.9	0.5644E+25
512.9	0.5687E+25
523.0	0.5733E+25
533.0	0.5774E+25
543.1	0.5816E+25
553.1	0.5857E+25
563.2	0.5897E+25
573.2	0.5938E+25
583.3	0.5977E+25
593.3	0.6017E+25
603.4	0.6050E+25
613.4	0.6089E+25
623.5	0.6128E+25
633.5	0.6166E+25
643.6	0.6204E+25
653.6	0.6242E+25
663.7	0.6280E+25
673.7	0.6317E+25
683.7	0.6359E+25
693.8	0.6396E+25
703.8	0.6432E+25
713.9	0.6469E+25
723.9	0.6505E+25
734.0	0.6541E+25
744.0	0.6576E+25
754.1	0.6612E+25
764.1	0.6647E+25
774.2	0.6682E+25
