-----------
Timer report 0 (1569 timers)
--------------
[0] main 44.8864 100.0% 1 
   [1] DiffusionSolver::run 44.4793 99.1% 1 
      [2] DiffusionSolver::advance 44.0272 98.1% 150 
         [3] EBBackwardEuler::solveHelm 43.4839 96.9% 150 
                                          [339] irregular_apply 0.0867  0.2% 43035 
                                             [347] EBStencil::apply_alpha_beta 0.0829  0.2% 43035 
                                                [369] apply_alpha_beta_loop_overvofs 0.0750  0.2% 43035 
                                                [898] apply_alpha_beta_header 0.0031  0.0% 43035 
                                          [693] dom_bcs_apply 0.0104  0.0% 43035 
                                          [1109] eb_bcs_apply 0.0008  0.0% 43035 
                                       [492] exchange+copier 0.0346  0.1% 4530 
                                          [497] exchange 0.0336  0.1% 4530 
                                             [503] local copying 0.0331  0.1% 4530 
                                                [535] BaseEBCellFAB::copy 0.0278  0.1% 126840 
                                                   [639] BaseEBCellFAB::regcopy 0.0144  0.0% 126840 
                                          [1202] Copier::define 0.0004  0.0% 150 
                           [286] axby 0.1074  0.2% 4530 
                              [394] FORT_AXBYFAB 0.0649  0.1% 43035 
                        [1203] ~LayoutData 0.0004  0.0% 2265 
                        [1268] ~Copier 0.0002  0.0% 2265 
                        [1299] ~LevelData 0.0001  0.0% 2265 
                        [1315] ~BoxLayoutData 0.0001  0.0% 2265 
                     [18] EBAMRPoissonOp::AMRUpdateResidual 4.1631  9.3% 4530 
                        [30] EBAMRPoissonOp::applyOp 2.9546  6.6% 4530 
                           [40] coarse-fine_bcs 2.1422  4.8% 4530 
                              [41] EBAMRPoissonOp::applyCFBCs 2.1413  4.8% 4530 
                                 [42] inhomogeneous_cfbcs_execute 2.1401  4.8% 4530 
                                    [58] QuadCFInterp::coarseFineInterp 1.5689  3.5% 4530 
                                       [64] QuadCFInterp::coarseFineInterp(BaseFab<Real> & a_phif,...) 1.4775  3.3% 733860 
                                          [75] QuadCFInterp::getPhiStar 1.1677  2.6% 502830 
                                             [103] QuadCFInterp::slopes 0.6763  1.5% 502830 
                                             [153] QuadCFInterp::notPacked 0.3436  0.8% 502830 
                                             [366] QuadCFInterp::preamble 0.0767  0.2% 502830 
                                          [173] QuadCFInterp::interpOnIVS 0.2307  0.5% 502830 
                                             [429] FORT_QUADINTERP 0.0546  0.1% 348810 
                                       [408] copyTo 0.0595  0.1% 4530 
                                          [411] local copying 0.0591  0.1% 4530 
                                    [242] exchange+copier 0.1346  0.3% 4530 
                                       [244] exchange 0.1341  0.3% 4530 
                                          [245] local copying 0.1334  0.3% 4530 
                                             [288] BaseEBCellFAB::copy 0.1058  0.2% 457530 
                                                [436] BaseEBCellFAB::regcopy 0.0523  0.1% 457530 
                                    [283] exchange 0.1084  0.2% 4530 
                                       [285] local copying 0.1082  0.2% 4530 
                                          [333] BaseEBCellFAB::copy 0.0882  0.2% 443940 
