-----------
Timer report 0 (1689 timers)
                                       [405] BaseEBCellFAB::copy 0.0778  0.1% 183303 
                                          [463] BaseEBCellFAB::regcopy 0.0555  0.0% 183303 
                                    [1666] sameregion_copy 0.0000  0.0% 0 
                                 [528] FORT_MULTIPLYFABR 0.0372  0.0% 183303 
                              [534] dom_bcs_apply 0.0355  0.0% 183303 
                              [1020] eb_bcs_apply 0.0025  0.0% 183303 
                           [293] exchange+copier 0.1198  0.1% 4526 
                              [295] exchange 0.1191  0.1% 4526 
                                 [300] local copying 0.1184  0.1% 4526 
                                    [348] BaseEBCellFAB::copy 0.0966  0.1% 457126 
                                       [483] BaseEBCellFAB::regcopy 0.0491  0.0% 457126 
                        [115] LevelData<T>::define(dbl,comps,ghost,factory) 0.9328  0.8% 4526 
                        [182] EBMGAverage::average 0.3187  0.3% 183303 
                           [254] regular_average 0.1538  0.1% 183303 
                              [262] FORT_REGAVERAGE 0.1463  0.1% 183303 
                           [271] irregular_average 0.1398  0.1% 183303 
                              [279] EBStencil::apply 0.1323  0.1% 183303 
                                 [349] apply_loop_overvofs 0.0965  0.1% 183303 
                                 [667] apply_header 0.0162  0.0% 183303 
                        [236] ~LayoutData 0.1850  0.2% 18104 
                        [387] copyTo 0.0843  0.1% 4526 
                           [390] local copying 0.0838  0.1% 4526 
                              [421] BaseEBCellFAB::copy 0.0700  0.1% 183303 
                                 [541] BaseEBCellFAB::regcopy 0.0341  0.0% 183303 
                        [437] FORT_SCALEADDTWOFAB 0.0637  0.1% 183303 
                        [523] FORT_MULTIPLYFABR 0.0381  0.0% 183303 
                        [1113] ~Copier 0.0014  0.0% 9052 
                        [1276] EBISLayoutImplem::~EBISLayoutImplem 0.0004  0.0% 9052 
                        [1388] ~BoxLayoutData 0.0001  0.0% 9052 
                        [1390] ~LevelData 0.0001  0.0% 9052 
                     [43] EBAMRPoissonOp::AMRUpdateResidual 4.0578  3.6% 4526 
                        [49] EBAMRPoissonOp::applyOp 2.8784  2.6% 4526 
                           [65] coarse-fine_bcs 2.0803  1.9% 4526 
                              [66] EBAMRPoissonOp::applyCFBCs 2.0795  1.9% 4526 
                                 [67] inhomogeneous_cfbcs_execute 2.0784  1.9% 4526 
                                    [83] QuadCFInterp::coarseFineInterp 1.5165  1.4% 4526 
                                       [90] QuadCFInterp::coarseFineInterp(BaseFab<Real> & a_phif,...) 1.4274  1.3% 733212 
                                          [104] QuadCFInterp::getPhiStar 1.1465  1.0% 502386 
                                             [136] QuadCFInterp::slopes 0.6622  0.6% 502386 
                                             [180] QuadCFInterp::notPacked 0.3384  0.3% 502386 
                                             [409] QuadCFInterp::preamble 0.0754  0.1% 502386 
                                          [218] QuadCFInterp::interpOnIVS 0.2037  0.2% 502386 
                                             [470] FORT_QUADINTERP 0.0535  0.0% 348502 
                                       [447] copyTo 0.0582  0.1% 4526 
                                          [450] local copying 0.0576  0.1% 4526 
                                    [280] exchange+copier 0.1321  0.1% 4526 
                                       [281] exchange 0.1316  0.1% 4526 
                                          [283] local copying 0.1310  0.1% 4526 
                                             [333] BaseEBCellFAB::copy 0.1038  0.1% 457126 
                                                [477] BaseEBCellFAB::regcopy 0.0516  0.0% 457126 
                                    [317] exchange 0.1075  0.1% 4526 
                                       [320] local copying 0.1073  0.1% 4526 
                                          [378] BaseEBCellFAB::copy 0.0870  0.1% 443548 
                                             [516] BaseEBCellFAB::regcopy 0.0393  0.0% 443548 
                                    [496] LevelData<T>::define(dbl,comps,ghost,factory) 0.0443  0.0% 9052 
                                    [644] ~LayoutData 0.0186  0.0% 18104 
                                    [1139] ~Copier 0.0012  0.0% 9052 
                                    [1384] ~BoxLayoutData 0.0002  0.0% 9052 
                                    [1410] ~LevelData 0.0001  0.0% 9052 
                                 [1424] inhomogeneous_cfbcs_define 0.0001  0.0% 4526 
                                 [1681] homogeneous_cfbs 0.0000  0.0% 0 
                           [133] EBAMRPoissonOp::applyOpNoCFBCs 0.6770  0.6% 4526 
                              [209] regular_apply 0.2188  0.2% 183303 
                                 [214] EBAMRPoissonOp::applyOpRegularAllDirs 0.2101  0.2% 183303 
                                    [297] FORT_REGGET1DLAPLACIAN_INPLACE 0.1186  0.1% 183303 
                                    [402] EBAMRPoissonOp::applyDomainFlux 0.0778  0.1% 183303 
                                       [445] EBArith::loHi 0.0602  0.1% 366606 
                              [221] irregular_apply 0.1998  0.2% 183303 
                                 [230] EBStencil::apply_alpha_beta 0.1889  0.2% 183303 
                                    [249] apply_alpha_beta_loop_overvofs 0.1597  0.1% 183303 
                                    [765] apply_alpha_beta_header 0.0102  0.0% 183303 
                              [243] alpha_apply 0.1656  0.1% 183303 
                                 [343] BaseEBCellFAB::copy 0.0981  0.1% 183303 
                                    [369] overlap_copy 0.0892  0.1% 183303 
                                       [403] BaseEBCellFAB::copy 0.0778  0.1% 183303 
                                          [465] BaseEBCellFAB::regcopy 0.0553  0.0% 183303 
                                    [1682] sameregion_copy 0.0000  0.0% 0 
                                 [526] FORT_MULTIPLYFABR 0.0374  0.0% 183303 
                              [536] dom_bcs_apply 0.0354  0.0% 183303 
                              [1021] eb_bcs_apply 0.0025  0.0% 183303 
                           [296] exchange+copier 0.1189  0.1% 4526 
                              [301] exchange 0.1184  0.1% 4526 
                                 [302] local copying 0.1182  0.1% 4526 
                                    [351] BaseEBCellFAB::copy 0.0964  0.1% 457126 
                                       [484] BaseEBCellFAB::regcopy 0.0489  0.0% 457126 
                        [116] LevelData<T>::define(dbl,comps,ghost,factory) 0.8966  0.8% 4526 
                        [359] ~LayoutData 0.0939  0.1% 9052 
                        [426] FORT_SCALEADDTWOFAB 0.0675  0.1% 183303 
                        [1184] ~Copier 0.0009  0.0% 4526 
                        [1280] EBISLayoutImplem::~EBISLayoutImplem 0.0004  0.0% 4526 
