BOLSIG+ version: 12/2017
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\Desktop\bolsig+\LXCat-June2013.txt
How to reference in publications:
1) A.V. Phelps and L.C. Pitchford, Phys. Rev. A 31, 2932 (1985)
2) SIGLO database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
--------------------------------------------------
O2                                                              
C:\Users\robertm\Desktop\bolsig+\LXCat-June2013.txt
How to reference in publications:
1) Lawton and Phelps, J. Chem. Phys. 69, 1055(1978).
2) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
NOTE:3 body attachment cross section are normalized to gas density in units of cm-3.
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       0.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    2000.    
Mole fraction N2                          0.8000    
Mole fraction O2                          0.2000    
 
 
E/N (Td)    	Electric field / N (Td)                                         
1091.	3.000
1095.	3.000
1099.	3.000
1103.	3.000
1107.	3.000
1111.	3.000
1115.	3.000
1119.	3.000
1123.	3.000
1127.	3.000
1131.	3.000
1135.	3.000
1139.	3.000
1143.	3.000
1147.	3.000
1151.	3.000
1155.	3.000
1159.	3.000
1163.	3.000
1167.	3.000
1171.	3.000
1175.	3.000
1179.	3.000
1183.	3.000
1187.	3.000
1191.	3.000
1195.	3.000
1199.	3.000
1203.	3.000
1207.	3.000
1211.	3.000
1215.	3.000
1219.	3.000
1223.	3.000
1227.	3.000
1231.	3.000
1235.	3.000
1239.	3.000
1243.	3.000
1247.	3.000
1251.	3.000
1255.	3.000
1259.	3.000
1263.	3.000
1267.	3.000
1271.	3.000
1275.	3.000
1279.	3.000
1283.	3.000
1287.	3.000
1291.	3.000
1295.	3.000
1299.	3.000
1303.	3.000
1307.	3.000
1311.	3.000
1315.	3.000
1319.	3.000
1323.	3.000
1327.	3.000
1331.	3.000
1335.	3.000
1339.	3.000
1343.	3.000
1347.	3.000
1351.	3.000
1355.	3.000
1359.	3.000
1363.	3.000
1367.	3.000
1371.	3.000
1375.	3.000
1379.	3.000
1383.	3.000
1387.	3.000
1391.	3.000
1395.	3.000
1399.	3.000
1403.	3.000
1407.	3.000
1411.	3.000
1415.	3.000
1419.	3.000
1423.	3.000
1427.	3.000
1431.	3.000
1435.	3.000
1439.	3.000
1443.	3.000
1447.	3.000
1451.	3.000
1455.	3.000
1459.	3.000
1463.	3.000
1467.	3.000
1471.	3.000
1475.	3.000
1479.	3.000
1483.	3.000
1487.	3.000
1491.	3.000
1495.	3.000
1499.	3.000
1503.	3.000
1507.	3.000
1511.	3.000
1515.	3.000
1519.	3.000
1523.	3.000
1527.	3.000
1531.	3.000
1535.	3.000
1539.	3.000
1543.	3.000
1547.	3.000
1551.	3.000
1555.	3.000
1559.	3.000
1563.	3.000
1567.	3.000
1571.	3.000
1575.	3.000
1579.	3.000
1583.	3.000
1587.	3.000
1591.	3.000
1595.	3.000
1599.	3.000
1603.	3.000
1607.	3.000
1611.	3.000
1615.	3.000
1619.	3.000
1623.	3.000
1627.	3.000
1631.	3.000
1635.	3.000
1639.	3.000
1643.	3.000
1647.	3.000
1651.	3.000
1655.	3.000
1659.	3.000
1663.	3.000
1668.	3.000
1672.	3.000
1676.	3.000
1680.	3.000
1684.	3.000
1688.	3.000
1692.	3.000
1696.	3.000
1700.	3.000
1704.	3.000
1708.	3.000
1712.	3.000
1716.	3.000
1720.	3.000
1724.	3.000
1728.	3.000
1732.	3.000
1736.	3.000
1740.	3.000
1744.	3.000
1748.	3.000
1752.	3.000
1756.	3.000
1760.	3.000
1764.	3.000
1768.	3.000
1772.	3.000
1776.	3.000
1780.	3.000
1784.	3.000
1788.	3.000
1792.	3.000
1796.	3.000
1800.	3.000
1804.	3.000
1808.	3.000
1812.	3.000
1816.	3.000
1820.	3.000
1824.	3.000
1828.	3.000
1832.	3.000
1836.	3.000
1840.	3.000
1844.	3.000
1848.	3.000
1852.	3.000
1856.	3.000
1860.	3.000
1864.	3.000
1868.	3.000
1872.	3.000
1876.	3.000
1880.	3.000
1884.	3.000
1888.	3.000
1892.	3.000
1896.	3.000
1900.	3.000
1904.	3.000
1908.	3.000
1912.	3.000
1916.	3.000
1920.	3.000
1924.	3.000
1928.	3.000
1932.	3.000
1936.	3.000
1940.	3.000
1944.	3.000
1948.	3.000
1952.	3.000
1956.	3.000
1960.	3.000
1964.	3.000
1968.	3.000
1972.	3.000
1976.	3.000
1980.	3.000
1984.	3.000
1988.	3.000
1992.	3.000
1996.	3.000
2000.	3.000
 
 
E/N (Td)    	Maximum energy                                                  
1.000	-1.000
5.006	2.031
9.012	2.401
13.02	2.838
17.02	6.547
21.03	10.81
25.04	12.77
29.04	15.04
33.05	15.04
37.05	17.69
41.06	17.69
45.07	20.77
49.07	20.77
53.08	20.77
57.08	24.36
61.09	24.36
65.10	24.36
69.10	28.54
73.11	28.54
77.11	28.54
81.12	28.54
85.13	33.41
89.13	33.41
93.14	33.41
97.14	33.41
101.2	33.41
105.2	39.07
109.2	39.07
113.2	39.07
117.2	39.07
121.2	39.07
125.2	45.67
129.2	45.67
133.2	45.67
137.2	45.67
141.2	45.67
145.2	45.67
149.2	45.67
153.2	53.35
157.2	53.35
161.2	53.35
165.2	53.35
169.3	53.35
173.3	53.35
177.3	53.35
181.3	53.35
185.3	62.29
189.3	62.29
193.3	62.29
197.3	62.29
201.3	62.29
205.3	62.29
209.3	62.29
213.3	62.29
217.3	62.29
221.3	62.29
225.3	72.70
229.3	72.70
233.3	72.70
237.4	72.70
241.4	72.70
245.4	72.70
249.4	72.70
253.4	72.70
257.4	72.70
261.4	72.70
265.4	84.83
269.4	84.83
273.4	84.83
277.4	84.83
281.4	84.83
285.4	84.83
289.4	84.83
293.4	84.83
297.4	84.83
301.5	84.83
305.5	84.83
309.5	84.83
313.5	98.94
317.5	98.94
321.5	98.94
325.5	98.94
329.5	98.94
333.5	98.94
337.5	98.94
341.5	98.94
345.5	98.94
349.5	98.94
353.5	98.94
357.5	98.94
361.5	98.94
365.5	98.94
369.6	115.4
373.6	115.4
377.6	115.4
381.6	115.4
385.6	115.4
389.6	115.4
393.6	115.4
397.6	115.4
401.6	115.4
405.6	115.4
409.6	115.4
413.6	115.4
417.6	115.4
421.6	115.4
425.6	115.4
429.6	134.5
433.6	134.5
437.7	134.5
441.7	134.5
445.7	134.5
449.7	134.5
453.7	134.5
457.7	134.5
461.7	134.5
465.7	134.5
469.7	134.5
473.7	134.5
477.7	134.5
481.7	134.5
485.7	134.5
489.7	134.5
493.7	134.5
497.7	156.8
501.8	156.8
505.8	156.8
509.8	156.8
513.8	156.8
517.8	156.8
521.8	156.8
525.8	156.8
529.8	156.8
533.8	156.8
537.8	156.8
541.8	156.8
545.8	156.8
549.8	156.8
553.8	156.8
557.8	156.8
561.8	156.8
565.8	156.8
569.9	156.8
573.9	182.7
577.9	182.7
581.9	182.7
585.9	182.7
589.9	182.7
593.9	182.7
597.9	182.7
601.9	182.7
605.9	182.7
609.9	182.7
613.9	182.7
617.9	182.7
621.9	182.7
625.9	182.7
629.9	182.7
633.9	182.7
638.0	182.7
642.0	182.7
646.0	182.7
650.0	182.7
654.0	212.9
658.0	212.9
662.0	212.9
666.0	212.9
670.0	212.9
674.0	212.9
678.0	212.9
682.0	212.9
686.0	212.9
690.0	212.9
694.0	212.9
698.0	212.9
702.1	212.9
706.1	212.9
710.1	212.9
714.1	212.9
718.1	212.9
722.1	212.9
726.1	212.9
730.1	212.9
734.1	212.9
738.1	212.9
742.1	248.1
746.1	248.1
750.1	248.1
754.1	248.1
758.1	248.1
762.1	248.1
766.1	248.1
770.2	248.1
774.2	248.1
778.2	248.1
782.2	248.1
786.2	248.1
790.2	248.1
794.2	248.1
798.2	248.1
802.2	248.1
806.2	248.1
810.2	248.1
814.2	248.1
818.2	248.1
822.2	248.1
826.2	248.1
830.2	248.1
834.3	248.1
838.3	289.0
842.3	289.0
846.3	289.0
850.3	289.0
854.3	289.0
858.3	289.0
862.3	289.0
866.3	289.0
870.3	289.0
874.3	289.0
878.3	289.0
882.3	289.0
886.3	289.0
890.3	289.0
894.3	289.0
898.3	289.0
902.4	289.0
906.4	289.0
910.4	289.0
914.4	289.0
918.4	289.0
922.4	289.0
926.4	289.0
930.4	289.0
934.4	289.0
938.4	289.0
942.4	289.0
946.4	336.7
950.4	336.7
954.4	336.7
958.4	336.7
962.4	336.7
966.4	336.7
970.5	336.7
974.5	336.7
978.5	336.7
982.5	336.7
986.5	336.7
990.5	336.7
994.5	336.7
998.5	336.7
1003.	336.7
1007.	336.7
1011.	336.7
1015.	336.7
1019.	336.7
1023.	336.7
1027.	336.7
1031.	336.7
1035.	336.7
1039.	336.7
1043.	336.7
1047.	336.7
1051.	336.7
1055.	336.7
1059.	392.2
1063.	392.2
1067.	392.2
1071.	392.2
1075.	392.2
1079.	392.2
1083.	392.2
1087.	392.2
1091.	392.2
1095.	392.2
1099.	392.2
1103.	392.2
1107.	392.2
1111.	392.2
1115.	392.2
1119.	392.2
1123.	392.2
1127.	392.2
1131.	392.2
1135.	392.2
1139.	392.2
1143.	392.2
1147.	392.2
1151.	392.2
1155.	392.2
1159.	392.2
1163.	392.2
1167.	392.2
1171.	392.2
1175.	392.2
1179.	392.2
1183.	456.8
1187.	456.8
1191.	456.8
1195.	456.8
1199.	456.8
1203.	456.8
1207.	456.8
1211.	456.8
1215.	456.8
1219.	456.8
1223.	456.8
1227.	456.8
1231.	456.8
1235.	456.8
1239.	456.8
1243.	456.8
1247.	456.8
1251.	456.8
1255.	456.8
1259.	456.8
1263.	456.8
1267.	456.8
1271.	456.8
1275.	456.8
1279.	456.8
1283.	456.8
1287.	456.8
1291.	456.8
1295.	456.8
1299.	456.8
1303.	456.8
1307.	456.8
1311.	456.8
1315.	456.8
1319.	532.0
1323.	532.0
1327.	532.0
1331.	532.0
1335.	532.0
1339.	532.0
1343.	532.0
1347.	532.0
1351.	532.0
1355.	532.0
1359.	532.0
1363.	532.0
1367.	532.0
1371.	532.0
1375.	532.0
1379.	532.0
1383.	532.0
1387.	532.0
1391.	532.0
1395.	532.0
1399.	532.0
1403.	532.0
1407.	532.0
1411.	532.0
1415.	532.0
1419.	532.0
1423.	532.0
1427.	532.0
1431.	532.0
1435.	532.0
1439.	532.0
1443.	532.0
1447.	532.0
1451.	532.0
1455.	532.0
1459.	532.0
1463.	619.6
1467.	619.6
1471.	619.6
1475.	619.6
1479.	619.6
1483.	619.6
1487.	619.6
1491.	619.6
1495.	619.6
1499.	619.6
1503.	619.6
1507.	619.6
1511.	619.6
1515.	619.6
1519.	619.6
1523.	619.6
1527.	619.6
1531.	619.6
1535.	619.6
1539.	619.6
1543.	619.6
1547.	619.6
1551.	619.6
1555.	619.6
1559.	619.6
1563.	619.6
1567.	619.6
1571.	619.6
1575.	619.6
1579.	619.6
1583.	619.6
1587.	619.6
1591.	619.6
1595.	619.6
1599.	619.6
1603.	619.6
1607.	619.6
1611.	619.6
1615.	619.6
1619.	721.6
1623.	721.6
1627.	721.6
1631.	721.6
1635.	721.6
