# E/N (Td)	Mobility *N (1/m/V/s)
1672.	0.5554E+24
1676.	0.5550E+24
1680.	0.5545E+24
1684.	0.5541E+24
1688.	0.5536E+24
1692.	0.5532E+24
1696.	0.5528E+24
1700.	0.5523E+24
1704.	0.5519E+24
1708.	0.5514E+24
1712.	0.5510E+24
1716.	0.5506E+24
1720.	0.5501E+24
1724.	0.5497E+24
1728.	0.5493E+24
1732.	0.5489E+24
1736.	0.5484E+24
1740.	0.5480E+24
1744.	0.5476E+24
1748.	0.5472E+24
1752.	0.5467E+24
1756.	0.5463E+24
1760.	0.5459E+24
1764.	0.5455E+24
1768.	0.5451E+24
1772.	0.5446E+24
1776.	0.5442E+24
1780.	0.5438E+24
1784.	0.5435E+24
1788.	0.5431E+24
1792.	0.5427E+24
1796.	0.5423E+24
1800.	0.5419E+24
1804.	0.5415E+24
1808.	0.5411E+24
1812.	0.5407E+24
1816.	0.5403E+24
1820.	0.5399E+24
1824.	0.5395E+24
1828.	0.5391E+24
1832.	0.5387E+24
1836.	0.5383E+24
1840.	0.5379E+24
1844.	0.5375E+24
1848.	0.5371E+24
1852.	0.5367E+24
1856.	0.5363E+24
1860.	0.5359E+24
1864.	0.5355E+24
1868.	0.5352E+24
1872.	0.5348E+24
1876.	0.5344E+24
1880.	0.5340E+24
1884.	0.5336E+24
1888.	0.5332E+24
1892.	0.5328E+24
1896.	0.5325E+24
1900.	0.5321E+24
1904.	0.5317E+24
1908.	0.5313E+24
1912.	0.5310E+24
1916.	0.5306E+24
1920.	0.5302E+24
1924.	0.5298E+24
1928.	0.5295E+24
1932.	0.5291E+24
1936.	0.5287E+24
1940.	0.5284E+24
1944.	0.5280E+24
1948.	0.5276E+24
1952.	0.5273E+24
1956.	0.5269E+24
1960.	0.5265E+24
1964.	0.5262E+24
1968.	0.5258E+24
1972.	0.5255E+24
1976.	0.5251E+24
1980.	0.5248E+24
1984.	0.5244E+24
1988.	0.5240E+24
1992.	0.5237E+24
1996.	0.5233E+24
2000.	0.5230E+24
