# E/N (Td)	Townsend ioniz. coef. alpha/N (m2)
1623.	0.2812E-19
1627.	0.2818E-19
1631.	0.2824E-19
1635.	0.2830E-19
1639.	0.2836E-19
1643.	0.2842E-19
1647.	0.2848E-19
1651.	0.2854E-19
1655.	0.2860E-19
1659.	0.2866E-19
1663.	0.2872E-19
1668.	0.2878E-19
1672.	0.2883E-19
1676.	0.2889E-19
1680.	0.2895E-19
1684.	0.2901E-19
1688.	0.2907E-19
1692.	0.2913E-19
1696.	0.2918E-19
1700.	0.2924E-19
1704.	0.2930E-19
1708.	0.2936E-19
1712.	0.2942E-19
1716.	0.2947E-19
1720.	0.2953E-19
1724.	0.2959E-19
1728.	0.2964E-19
1732.	0.2970E-19
1736.	0.2976E-19
1740.	0.2981E-19
1744.	0.2987E-19
1748.	0.2993E-19
1752.	0.2998E-19
1756.	0.3004E-19
1760.	0.3009E-19
1764.	0.3015E-19
1768.	0.3021E-19
1772.	0.3026E-19
1776.	0.3032E-19
1780.	0.3037E-19
1784.	0.3043E-19
1788.	0.3048E-19
1792.	0.3054E-19
1796.	0.3059E-19
1800.	0.3065E-19
1804.	0.3070E-19
1808.	0.3075E-19
1812.	0.3081E-19
1816.	0.3086E-19
1820.	0.3092E-19
1824.	0.3097E-19
1828.	0.3102E-19
1832.	0.3108E-19
1836.	0.3113E-19
1840.	0.3118E-19
1844.	0.3124E-19
1848.	0.3129E-19
1852.	0.3134E-19
1856.	0.3139E-19
1860.	0.3145E-19
1864.	0.3150E-19
1868.	0.3155E-19
1872.	0.3160E-19
1876.	0.3166E-19
1880.	0.3171E-19
1884.	0.3176E-19
1888.	0.3181E-19
1892.	0.3186E-19
1896.	0.3191E-19
1900.	0.3197E-19
1904.	0.3202E-19
1908.	0.3207E-19
1912.	0.3212E-19
1916.	0.3217E-19
1920.	0.3222E-19
1924.	0.3227E-19
1928.	0.3232E-19
1932.	0.3237E-19
1936.	0.3242E-19
1940.	0.3247E-19
1944.	0.3252E-19
1948.	0.3257E-19
1952.	0.3262E-19
1956.	0.3267E-19
1960.	0.3272E-19
1964.	0.3277E-19
1968.	0.3282E-19
1972.	0.3287E-19
1976.	0.3292E-19
1980.	0.3296E-19
1984.	0.3301E-19
1988.	0.3306E-19
1992.	0.3311E-19
1996.	0.3316E-19
2000.	0.3321E-19
